citation_key_lr,citation_key_cp,citation_sentence,predecessor,successor,textual,separate,sentence_popularity,context_popularity,sentence_density,context_density,position_in_sentence,sentence_neg,sentence_neu,sentence_pos,sentence_compound,context_neg,context_neu,context_pos,context_compound,comp_sup,prp,pos_pattern,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,position_in_document,heading_title,heading_category,ref_in_figure_description,ref_in_table_description,ref_in_heading
Brynjolfsson1993,Hadaya2012,"Researchers have adopted various theoretical, conc...",It is an important stream of research that deals w...,IT valuation research has now accumulated a critic...,True,False,2,4,0.333333333333333,0.2,0.931174089068826,0,1,0,0,0.026,0.898,0.076,0.5106,False,False,NNS VBP VBN JJ JJ JJ JJ CC JJ NNS TO VB DT NN IN NNS IN NN CC NNS VBN IN NNS IN JJ JJ NN NNP,False,True,True,False,False,False,0.009,Introduction,introduction,False,False,False
Brynjolfsson1993,Pare2008,"To solve these methodological issues, researchers ...",Among the most salient are a reliance on cross-sec...,CITATION asserted that the lack of consistent find...,True,False,5,10,0.166666666666667,0.090909090909091,0.595166163141994,0,0.952,0.048,0.2023,0.021,0.924,0.056,0.4391,False,False,TO VB DT JJ NNS NNS VBP VBN DT JJ NNS VBG NN IN JJ NN NNS NNP VBG JJ NN NNS NNP VBG JJ NNS IN DT NN JJ NNP CC VBG RBR JJ NNS NNP,False,True,True,False,False,False,0.035,Introduction,introduction,False,False,False
Brynjolfsson1993,Sircar2000,These are studies representing what we have termed...,"The objective of the research presented here, howe...",We have attempted to extend their work to yield a ...,False,False,3,3,0.25,0.25,0.924444444444444,0,1,0,0,0,0.947,0.053,0.6124,False,True,DT VBP NNS VBG WP PRP VBP VBN DT `` NN '' NNP NN IN NNP CC NNP NNP CC DT VBG DT NN CC NN NN NN IN NNP CC NNP NNP,False,True,True,False,False,False,0.076,,introduction,False,False,False
Brynjolfsson1993,Im2001,Recent evidence indicates that IT has been a very ...,Many attempts have been made to answer this questi...,"Despite these findings, the results of other empir...",True,False,2,5,0.333333333333333,0.285714285714286,0.918181818181818,0,0.861,0.139,0.2716,0,0.958,0.042,0.2716,False,False,JJ NN VBZ IN NNP VBZ VBN DT RB JJ NN TO NN UH NNP,False,True,True,False,False,False,0.004,Introduction,introduction,False,False,False
Brynjolfsson1993,Wei2011,Such a focus on outcomes has also been done by stu...,Examples of digital outcome divide include differe...,The extended three-level digital divide framework ...,False,False,2,3,0.333333333333333,0.25,0.946236559139785,0.049,0.951,0,-0.1027,0.028,0.972,0,-0.1027,False,False,JJ DT NN IN NNS VBZ RB VBN VBN IN NNS VBG NN NN UH NNP CD NNP NN IN NNS NN NNP CC NNP NN NN JJ NNP,False,False,True,False,False,False,0.095,A Digital Divide Framework,theory_frontend,False,False,False
Brynjolfsson1993,Pinsonneault1998,"On the other hand, IT spending has also been linke...","Yet, many authors claim that the benefits of IT ar...",This paper addresses the productivity paradox by t...,True,False,2,10,0.333333333333333,0.090909090909091,0.845454545454545,0,0.622,0.378,0.743,0.122,0.669,0.209,0.765,False,False,IN DT JJ NN NNP NN VBZ RB VBN VBN TO JJ NN NNS NNP,False,False,True,False,False,False,0.054,Introduction,introduction,False,False,False
Brynjolfsson1993,Petter2013,"For example, time since implementation REFERENCECI...",Some research has focused on the role of project f...,Additional research could explore these project fa...,False,False,3,3,0.4,0.4,0.220338983050847,0,0.861,0.139,0.5719,0,0.794,0.206,0.9485,False,False,IN NN NN IN NN NNP CC NN IN DT NNP NNP VBP RB VBN IN NN NNS RB IN NNS IN NNP NN,False,False,True,False,False,False,0.755,Future Research Road Map,implications,False,False,False
Brynjolfsson1993,Ravichandran2009,"first, past research has found that both IT invest...",We conducted several tests to check whether the re...,"hence, we used one year lagged ROa (the next year ...",False,True,2,2,0.333333333333333,0.333333333333333,0.354430379746835,0.091,0.909,0,-0.296,0.1,0.864,0.036,-0.4939,False,False,RB JJ NN VBZ VBN IN DT NNP NNS REFERENCE CC JJ NNS JJ IN NN NNP VBP VBN NNS IN NN NN,False,True,True,False,False,False,0.663,Robustness check,results,False,False,False
Brynjolfsson1993,Palmer2000,"Yet, the evidence on how well they succeed is mixe...",Well-managed organizations generally try to improv...,"This apparent ""productivity paradox"" has produced ...",True,False,9,9,0.181818181818182,0.181818181818182,0.447761194029851,0,0.629,0.371,0.6486,0.034,0.769,0.197,0.7783,False,False,RB DT NN IN WRB RB PRP VB VBZ JJ NNP,False,False,False,False,False,False,0.082,Theoretical Background,theory_frontend,False,False,False
Brynjolfsson1993,Melville2004,"Researchers have adopted diverse conceptual, theor...",IT business value scholars are motivated by a desi...,"Moreover, the literature includes contributions fr...",True,False,2,2,0.5,0.5,0.858695652173913,0,1,0,0,0,0.849,0.151,0.8807,False,False,NNS VBP VBN JJ JJ JJ CC JJ NNS CC VBN JJ JJ NNS IN JJ NNS IN NN NNP,False,True,True,False,False,False,0.049,IT Business Value Research: Definition Through Distillation,introduction,False,False,False
Brynjolfsson1996,Grover2006,"For instance, econometrics has been used to examin...",A growing number of studies has started to pay att...,Some scholars have resorted to the use of economic...,True,True,0,5,1,0.166666666666667,0.989795918367347,0,1,0,0,0.014,0.906,0.08,0.6808,False,False,IN NN NNS VBZ VBN VBN TO VB DT NN IN NNP CC NN REFERENCE,False,True,True,False,False,False,0.194,Figure 1. Foundational Fields Used in Culnan and Swanson's (1986) and Cheon et al.'s (1992),background,False,False,False
Brynjolfsson1996,Melville2004,"Researchers have adopted diverse conceptual, theor...",IT business value scholars are motivated by a desi...,"Moreover, the literature includes contributions fr...",True,False,3,3,0.25,0.25,0.907103825136612,0,1,0,0,0,0.849,0.151,0.8807,False,False,NNS VBP VBN JJ JJ JJ CC JJ NNS CC VBN JJ JJ NNS IN JJ NNS IN NN NNP,False,True,True,False,False,False,0.049,IT Business Value Research: Definition Through Distillation,introduction,False,False,False
Chan2000,Petter2012,Chief Information Officers (CIOs) identified the i...,In the quest to use information systems to support...,"Therefore, during this era, alignment between the ...",True,False,3,3,0.25,0.25,0.997084548104956,0,0.942,0.058,0.4019,0,0.844,0.156,0.9371,False,False,JJ NN NNP NNP VBD DT NN IN JJ NN IN CD IN PRP$ JJ NNS IN NN NNS IN PRP$ NNS NNP CC NNS VBD NNS TO VB NNS VB IN PRP$ NN NNS VBD VBN IN DT JJ NNS IN DT NN NNP,False,True,True,False,False,False,0.246,Strategic and Personal Computing Era (1980s -1990s),method,False,False,False
Chan2000,Caliendo2012,"Rather, selection bias probably poses a problem fo...",It is unlikely that the selection bias is unique t...,"Within organizations, this effect might arise in e...",True,False,1,1,0.5,0.5,0.922413793103448,0.2,0.683,0.117,-0.1779,0.098,0.859,0.043,-0.2732,False,False,RB NN NN RB VBZ DT NN IN DT NN IN JJ NNP CC NNP NN NN NNS NNP,False,False,False,False,False,False,0.868,Implications,implications,False,False,False
Chan2000,Tallon2007,Although perceptions are often regarded as biased ...,"As an alternative, researchers have designed perce...","Accordingly, we identified 25 process-level measur...",False,False,2,6,0.333333333333333,0.142857142857143,0.353783231083845,0.087,0.883,0.03,-0.5423,0.057,0.904,0.039,-0.2732,False,False,IN NNS VBP RB VBN IN VBN CC JJ TO VB FW CD NN NN NN WDT VBZ VBN NN IN JJ NNS CC JJ NNS RBR RB NNP CC NNP NNP NN WDT NNS POS NNS IN NNP VBZ IN DT NN CC NN NN NN IN NN TO PDT DT NN IN NNS MD VB VBN IN DT NN IN JJ NNP VBZ WRB EX VBP DT RB JJ CC JJ JJ NNS IN NNP NN NN,False,True,True,True,False,False,0.465,Measuring IT Business Value,method,False,False,False
DeLone1992,McBride1997,Although efforts to identify measures of IS succes...,They found that neither economic nor technical fac...,CITATION could not definitively identify any corre...,True,False,1,2,0.5,0.333333333333333,0.281081081081081,0.073,0.677,0.25,0.7787,0.086,0.738,0.176,0.7512,False,False,IN NNS TO VB NNS IN NNP NN NNP VBP VBN IN DT NN PRP VBZ VBN RBR JJ TO VB JJ NNS WDT VBP WRB JJ VBZ VBN JJ,False,True,True,False,False,False,0.059,introduction,introduction,False,False,False
DeLone1992,Benbasat2007,"As several researchers have pointed out, such a si...","In regard to consequences, an undesirable outcome ...","Moreover, an intense focus on this narrowly concep...",True,False,2,10,0.333333333333333,0.090909090909091,0.860655737704918,0,0.893,0.107,0.2023,0.049,0.879,0.072,0.3655,False,False,IN JJ NNS VBP VBN RP PDT DT JJ NN IN NN NN VBZ JJ NNS NNP,False,True,True,False,False,False,0.305,Introduction,introduction,False,False,False
DeLone1992,Vance2008,System quality is a major component of the REFEREN...,In order to identify relevant formative subconstru...,"However, research examining system quality and its...",False,False,1,3,0.666666666666667,0.4,0.394495412844037,0,0.791,0.209,0.5719,0,0.86,0.14,0.8442,False,False,NNP NN VBZ DT JJ NN IN DT NNP IN NNP NN CC JJ NNS NNP,False,False,False,False,False,False,0.198,System Quality,theory_frontend,False,False,False
DeLone1992,Heatley1995,The framework derives from two existing conceptual...,"In order to perform an internal assessment, we syn...",We argue that the impact of an IT on a task must b...,True,True,1,1,0.5,0.5,0.461538461538462,0,0.724,0.276,0.7269,0.035,0.878,0.088,0.5719,False,False,DT NN VBZ IN CD VBG NNS REFERENCE NN IN NNS IN NN NN CC NNP NN NN,False,False,False,False,False,False,0.04,,introduction,False,False,False
DeLone1992,Singh2008,This measure of project success is consistent with...,This is also one of the success measures correspon...,"In addition, the two studies most closely related ...",True,True,0,3,1,0.25,0.989690721649485,0,0.637,0.363,0.8126,0,0.776,0.224,0.9423,False,False,DT NN IN NN NN VBZ JJ IN DT NN IN NN NN NN REFERENCE,False,False,False,False,False,False,0.357,Dependent Variable,method,False,False,False
DeLone1992,Aladwani2002,"Usage., user satisfaction, system quality, and inf...","First, IS project performance and IS effectiveness...",Such studies are basically concemed with success a...,False,True,0,0,1,1,0.992805755395684,0,0.868,0.132,0.4404,0,0.932,0.068,0.5106,False,False,NNP JJ NN NN NN CC NN NN NN VBP NNS IN NNS VBN IN JJ NNP JJ NNS REFERENCE,False,False,False,False,False,False,0.066,Review of Prior Research Leading to Integration,theory_frontend,False,False,False
DeLone1992,Zimmer2007,Quality can refer to either the information retrie...,Information quality represents another of the unde...,"For the purposes of this work, we focus solely on ...",False,True,0,3,1,0.25,0.989473684210526,0,1,0,0,0,1,0,0,False,False,NN MD VB TO VB DT NN VBD CC DT NN VBG DT NN REFERENCE,False,False,False,False,False,False,0.238,Quality,method,False,False,False
DeLone1992,Yoon1995a,"Further, a comprehensive discussion of system succ...","On the other hand, user satisfaction has been prop...",For all these reasons we used it in this study....,True,True,0,3,1,0.25,0.285,0,0.706,0.294,0.8555,0,0.73,0.27,0.9766,False,False,RB DT JJ NN IN NN NN IN REFERENCE NNS WDT VBN TO JJ NNS JJ NN VBZ VBN RB VBN VBG PRP JJ IN DT NN IN JJ NN,False,True,True,False,False,False,0.14,The Theoretical Framework,theory_frontend,False,False,False
DeLone1992,Park2015,A great deal of research has been conducted in the...,The successful use of information systems (IS) by ...,"However, such research has focused primarily on bu...",True,False,1,1,0.5,0.5,0.962025316455696,0,0.766,0.234,0.8779,0.093,0.743,0.164,0.7964,False,False,DT JJ NN IN NN VBZ VBN VBN IN DT NNP NN IN DT JJ CD NNS IN VBZ NNS VBG JJ NN CC NN IN NNP CC DT NNS IN NNS VBG PRP$ NN VB NNP,False,True,True,False,False,False,0.058,Related Background and Literature Review,background,False,False,False
DeLone1992,Osei-Bryson2011,Numerous user satisfaction studies have been condu...,"On the other hand, user satisfaction studies inves...",Our illustrative problem is situated within this s...,True,False,2,4,0.333333333333333,0.2,0.946107784431138,0,0.892,0.108,0.4404,0.032,0.803,0.165,0.8834,False,False,JJ JJ NN NNS VBP VBN VBN IN DT JJ NN VBG TO VB NNS IN DT NNP WDT VBP TO JJ JJ NN NNP,False,True,True,False,False,False,0.407,background on the illustrative problem,background,False,False,False
DeLone1992,Fink2007,"REFERENCE noted that ""rather than measure the qual...",Information is commonly perceived as the product o...,This perception suggests that the quality of an in...,True,True,0,0,1,1,0,0,1,0,0,0,1,0,0,False,False,REFERENCE VBD IN `` RB IN VB DT NN IN DT NN NN JJ NNP NNS VBP VBN TO VB IN DT NN IN DT NN NN NN RB DT NN IN DT NN IN DT NN VBZ RB IN DT NN IN NNS '' FW CD,True,True,True,False,False,False,0.224,3. IT-Dependent Organizational Agility,theory_frontend,False,False,False
DeLone1992,Xu2013a,"REFERENCE, among others, have called for the inclu...","The Wixom and Todd model (WT model, CITATION), whi...","In addition, the context of the WT model is, as wi...",True,True,0,1,1,0.5,0,0,0.844,0.156,0.5719,0,0.936,0.064,0.6705,False,False,REFERENCE IN NNS VBP VBN IN DT NN IN NNP IN DT NN IN NNP NN RB IN NNP CC NNP,False,True,True,False,False,False,0.015,,introduction,False,False,False
DeLone1992,Arnott2014,These theoretical foundations are not  restricted ...,CITATION shows the rigor of the theoretical founda...,Theory foundation rigor was judged on a 3-item sca...,True,True,1,2,0.5,0.333333333333333,0.993710691823899,0,0.636,0.364,0.8715,0.048,0.689,0.264,0.9039,False,False,DT JJ NNS VBP RB VBN TO NN CC NN NN CC JJ NNS IN NNP JJ JJ NNP CC NNP NN REFERENCE,False,False,True,False,False,False,0.334,Results and discussion,implications,False,False,False
DeLone1992,Qureshi2009,The literature on information systems success has ...,Direct effects of website quality on repurchase in...,"In the e-commerce context, previous research has g...",True,True,0,0,1,1,0.991869918699187,0,0.756,0.244,0.6705,0,0.856,0.144,0.836,False,False,DT NN IN NN NNS NN VBZ RB VBN NN NN IN DT JJ NN TO NN NN REFERENCE,False,False,True,False,False,False,0.324,Consequences of trust: repurchase intention,theory_frontend,False,False,False
DeLone1992,Hakkinen2008,Dimensions consist of a number of different quanti...,To be able to provide an evaluation of system succ...,"Compared to critical success factors, which are ba...",True,True,0,0,1,1,0.991189427312775,0,0.786,0.214,0.7845,0.043,0.773,0.183,0.9442,False,False,NNS VBP IN DT NN IN JJ JJ NNS IN NN IN DT JJ NN JJ NN IN DT NN IN NN MD VB VBN IN JJ NNS VBN NNS CC JJ NNS REFERENCE,False,False,True,True,False,False,0.246,Dimensions of ERP success,method,False,False,False
DeLone1992,Dong2009a,When defining implementation outcomes we considere...,TMSC describes managerial actions that fostered or...,The second step applied the same procedure and cod...,True,True,0,0,1,1,0.334645669291339,0,0.68,0.32,0.9217,0.023,0.798,0.179,0.9559,False,True,WRB VBG NN IN PRP VBD JJ NNS VBN IN REFERENCE NN JJ NN JJ NN CC JJ NN CC IN JJ JJ NN NN NN JJ NN CC RB VB NN,False,False,False,False,False,False,0.285,Nature,results,False,False,False
DeLone1992,Teo1999,"However, empirical establishment of the link betwe...",The ultimate contribution to organizational perfor...,Similar difficulties have been found in business s...,True,False,3,4,0.25,0.2,0.718120805369127,0.096,0.904,0,-0.2023,0.066,0.934,0,-0.4588,False,False,RB JJ NN IN DT NN IN NNP CC JJ NN VBZ JJ NNP CC RB JJ NNP,False,False,False,False,False,False,0.239,Impact on organizational performance,background,False,False,False
DeLone1992,Jiang2002a,"By the same token, IS users may consider the proje...","For example, the IS staff may declare a project ou...",These differing viewpoints can lead to conflict du...,True,True,0,0,1,1,0.994652406417112,0,1,0,0,0.028,0.896,0.076,0.5994,False,False,IN DT JJ NN NNP NNPS MD VB DT NN NN IN NNS IN NN CC NN IN DT NN DT NN IN DT NNS TO PRP$ NNS CC NNS TO PRP$ NNS REFERENCE,False,False,False,False,False,False,0.056,Introduction,introduction,False,False,False
DeLone1992,Chau2007,These impact measures form a continuum and are som...,"Other impacts have also been suggested, including ...",The positive effects of IT in terms of these benef...,True,False,1,1,0.5,0.666666666666667,0.573863636363636,0,0.839,0.161,0.6124,0,0.851,0.149,0.8807,False,False,DT JJ NNS VBP DT NN CC VBP RB VBN TO IN JJ NNS POS IN NNP NNP WDT VBP RB DT RBS RB VBN NNS IN NNP NN NN,False,False,True,False,False,False,0.18,Introduction,introduction,False,False,False
DeLone1992,Loh1998,"Evidently, from 1981 to 1987, of the 100 studies t...","Recently, user satisfaction and user-perceived ben...",According to the technology acceptance model formu...,True,True,0,2,1,0.333333333333333,0.993006993006993,0,0.861,0.139,0.5719,0.035,0.803,0.162,0.8689,False,False,RB IN CD TO CD IN DT CD NNS WDT VBD DT NN IN NN NN CD JJ NN NNS IN DT NN REFERENCE,False,False,False,False,False,False,0.175,Literature review,background,False,False,False
DeLone1992,Igbaria1997,"Clearly, many factors influence personal computing...",Relatively little is known about personal computin...,"The majority of these studies have in, vestigated ...",True,False,9,10,0.1,0.090909090909091,0.577777777777778,0,0.513,0.487,0.6908,0,0.781,0.219,0.8271,False,False,RB JJ NNS VBP JJ NN NN NNP,False,False,False,False,False,False,0.049,Introduction,introduction,False,False,False
DeLone1992,Fielt2013,In 2003 'service quality' was added to the promine...,Early work in the service management stream recogn...,The trend towards IT outsourcing has also stimulat...,True,True,0,1,1,0.666666666666667,0.6625,0,0.647,0.353,0.7184,0,0.868,0.132,0.7845,False,False,IN CD POS NN '' VBD VBN TO DT JJ NNP NNP NNP REFERENCE,False,True,True,False,False,False,0.24,,introduction,False,False,False
DeLone1992,Chi2010,There is increasing recognition that actual system...,Although selfreported use measures offer one way o...,"In this study, we used secondary data sources to a...",True,True,0,1,1,0.5,0.990384615384615,0,0.828,0.172,0.4404,0.053,0.907,0.04,0.0258,False,False,EX VBZ VBG NN WDT JJ NN NN VBZ RBR NNS IN JJ NN REFERENCE,False,True,False,False,False,False,0.864,Contributions,implications,False,False,False
DeLone1992,Petter2008,"For example, the widely cited REFERENCE(REFERENCE)...","As a field, we have made substantial strides towar...","Furthermore, some researchers have synthesized the...",False,True,0,3,1,0.571428571428571,0.136986301369863,0,0.812,0.188,0.8126,0,0.764,0.236,0.9726,False,False,IN NN DT RB VBN REFERENCE REFERENCE NN IN NNP NN CD VBD VBN DT NN RB VBN IN DT NN IN DT JJ CC JJ NN IN NNP NN WDT VBD VBN IN DT NN REFERENCE,False,True,True,False,False,False,0.021,Introduction,introduction,False,False,False
DeLone2003,Scott2016,This research focuses on the value perceived by ci...,The motivation of this paper is to address Petter ...,Public Value provides a framework that distinguish...,True,True,1,3,0.5,0.25,0.440129449838188,0,0.808,0.192,0.8481,0,0.702,0.298,0.9911,False,False,DT NN VBZ IN DT NN VBN IN NNS IN NNP CD NN CC VBZ NNP NNP NN NNP TO VB DT NNP NNP NNP IN NN TO VB DT DT JJ CC JJ NNS IN DT NNP CC RB DT NN JJ NNS IN JJ NNS,False,False,False,False,False,False,0.051,Introduction,introduction,False,False,False
DeLone2003,Hakkinen2008,Dimensions consist of a number of different quanti...,To be able to provide an evaluation of system succ...,"Compared to critical success factors, which are ba...",True,True,0,0,1,1,0.991189427312775,0,0.786,0.214,0.7845,0.043,0.773,0.183,0.9442,False,False,NNS VBP IN DT NN IN JJ JJ NNS IN NN IN DT JJ NN JJ NN IN DT NN IN NN MD VB VBN IN JJ NNS VBN NNS CC JJ NNS REFERENCE,False,False,True,True,False,False,0.246,Dimensions of ERP success,method,False,False,False
DeLone2003,Tong2015,Job performance has long been recognized as a meas...,Performance is defined as the extent to which an e...,Such a length of time raises the question of wheth...,True,True,1,1,0.5,0.5,0.197309417040359,0.029,0.856,0.115,0.7717,0.056,0.874,0.07,0.4215,False,False,NNP NN VBZ RB VBN VBN IN DT NN IN DT JJ NNP NN REFERENCE IN DT JJ NN IN DT NN NN VBZ IN IN NNS MD VB JJ CD IN VBN IN NN NNP IN NNP NNS IN JJ NN IN NN NN IN DT JJ NN VBP RB VBN IN CD NNS IN DT NN NN IN IN NNP CD IN WDT NNS VBP VBN CD NNS IN DT NN NN,False,True,True,False,False,False,0.096,Introduction,introduction,False,False,False
DeLone2003,Goodhue1995,It goes beyond the REFERENCEmodel in two important...,This new model is consistent with one proposed by ...,"First, it highlights the importance of task-techno...",True,True,0,0,1,1,0.404255319148936,0,0.816,0.184,0.2023,0,0.876,0.124,0.7003,False,False,PRP VBZ IN DT NNP IN CD JJ NNS,False,False,False,False,True,False,0.016,Introduction,introduction,False,False,False
DeLone2003,Price2005,There have been a number of proposals that focus o...,The revised semiotic information quality framework...,Although these proposals are subject to some of th...,True,False,2,2,0.333333333333333,0.333333333333333,0.964980544747082,0,0.884,0.116,0.6124,0.046,0.903,0.051,0.128,False,False,EX VBP VBN DT NN IN NNS WDT VBP IN DT JJ NN NN JJ VBP NN IN NNP CC IN JJR NN NN RB IN CD NN IN DT NN NNP NN NN IN DT NN IN NN NNP NN IN NNP,False,True,True,False,False,False,0.739,Revised framework and comparison,theory_frontend,False,False,False
DeLone2003,Joshi2010,There is an increasing recognition that actual sys...,"Additionally, primary data collection only collect...","In this regard, we collect longitudinal secondary ...",True,True,0,1,1,0.5,0.990654205607477,0,0.838,0.162,0.4404,0.053,0.878,0.069,0.3182,False,False,EX VBZ DT VBG NN WDT JJ NN NN VBZ RBR NNS IN JJ NN REFERENCE,False,False,False,False,False,False,0.451,Methods,method,False,False,False
DeLone2003,Sun2012a,"Furthermore, our research model has resulted in a ...",Although this approach is consistent with similar ...,"Finally, due to the relatively small sample size a...",True,True,0,2,1,0.333333333333333,0.996677740863787,0,0.909,0.091,0.4404,0.028,0.935,0.037,-0.0129,False,False,RB PRP$ NN NN VBZ VBN IN DT JJ NN IN JJ NN IN JJ NN IN NNP NN NN CC JJ NN MD CC MD VB IN RBR JJ NNS IN VBG JJ NN NNS NN NN NN NN NN REFERENCE,False,True,True,False,False,False,0.821,Limitations,implications,False,False,False
DeLone2003,Xiao2007,"As predicted by REFERENCE, empathetic RAs are cons...",It is expected that customers who are informed abo...,It is therefore proposed that P18: The provision o...,True,True,0,0,1,1,0.089385474860335,0,0.823,0.177,0.6808,0,0.771,0.229,0.9716,False,False,IN VBN IN REFERENCE JJ NNP VBP VBN IN JJR NN NN CC RB NN IN JJR NN NN IN DT NNP CC IN DT NNP JJ NN,False,True,True,False,False,False,0.334,RA Process Characteristics.,method,False,False,False
DeLone2003,Bradley2012a,"For this study, we adopt the IS success model REFE...",The organisational impact of IT has been measured ...,The measurement of IS success or the impact of IT ...,True,True,0,6,1,0.25,0.978723404255319,0,0.597,0.403,0.6597,0,0.801,0.199,0.9042,False,True,IN DT NN PRP VBP DT NNP NN NN REFERENCE,False,False,False,False,False,False,0.168,The organisational impact of IT,theory_frontend,False,False,False
DeLone2003,Oh2013,"However, given that information quality and the pe...","Second, although many pundits have portrayed rosy ...",This study will be a good starting point to unders...,True,True,1,4,0.5,0.2,0.422680412371134,0.133,0.681,0.186,0.577,0.095,0.761,0.144,0.7458,False,False,RB VBN IN NN NN CC DT JJ NN IN NN NN VBP JJ NN NNS IN JJ NNP CC NN NNS REFERENCE DT NN IN JJ NN VBN IN DT NN IN JJ NNS NNS VBZ JJ TO VB DT NN IN JJ NN NN IN DT JJ NN NN RB IN JJ NN NNS,False,False,False,False,False,False,0.752,Future Research and Conclusion,implications,False,False,False
DeLone2003,Bartis2008,REFERENCE provide a thorough overview of the main ...,"Later, discussions also included managerial or org...",Some 10 years later REFERENCE discussed the critiq...,True,True,0,0,1,1,0,0,0.829,0.171,0.5719,0,0.836,0.164,0.8765,False,False,REFERENCE VBP DT JJ NN IN DT JJ NN IN DT NN IN DT JJ NN NNS IN DT NN,True,False,False,False,False,False,0.022,Introduction,introduction,False,False,False
